paper_id,title,authors,venue,year,pdf_path,topics
2604.15309v1,MM-WebAgent: A Hierarchical Multimodal Web Agent for Webpage Generation,Yan Li; Zezi Zeng; Yifan Yang; Yuqing Yang; Ning Liao,arXiv,2026,data/pdfs/2604.15309v1.pdf,cs.AI
2604.15306v1,Generalization in LLM Problem Solving: The Case of the Shortest Path,Yao Tong; Jiayuan Ye; Anastasia Borovykh; Reza Shokri,arXiv,2026,data/pdfs/2604.15306v1.pdf,cs.AI
2604.15302v1,Diagnosing LLM Judge Reliability: Conformal Prediction Sets and Transitivity Violations,Manan Gupta; Dhruv Kumar,arXiv,2026,data/pdfs/2604.15302v1.pdf,cs.AI
2604.15294v1,How Do LLMs and VLMs Understand Viewpoint Rotation Without Vision? An Interpretability Study,Zhen Yang; Ping Jian; Zhongbin Guo; Zuming Zhang; Chengzhi Li,arXiv,2026,data/pdfs/2604.15294v1.pdf,cs.AI
2604.15291v1,AD4AD: Benchmarking Visual Anomaly Detection Models for Safer Autonomous Driving,Fabrizio Genilotti; Arianna Stropeni; Gionata Grotto; Francesco Borsatti; Manuel Barusco,arXiv,2026,data/pdfs/2604.15291v1.pdf,cs.AI
2604.15280v1,Why Do Vision Language Models Struggle To Recognize Human Emotions?,Madhav Agarwal; Sotirios A. Tsaftaris; Laura Sevilla-Lara; Steven McDonagh,arXiv,2026,data/pdfs/2604.15280v1.pdf,cs.AI
2604.15272v1,Prism: Symbolic Superoptimization of Tensor Programs,Mengdi Wu; Xiaoyu Jiang; Oded Padon; Zhihao Jia,arXiv,2026,data/pdfs/2604.15272v1.pdf,cs.AI
2604.15271v1,SegWithU: Uncertainty as Perturbation Energy for Single-Forward-Pass Risk-Aware Medical Image Segmentation,Tianhao Fu; Austin Wang; Charles Chen; Roby Aldave-Garza; Yucheng Chen,arXiv,2026,data/pdfs/2604.15271v1.pdf,cs.AI
2604.15267v1,CoopEval: Benchmarking Cooperation-Sustaining Mechanisms and LLM Agents in Social Dilemmas,Emanuel Tewolde; Xiao Zhang; David Guzman Piedrahita; Vincent Conitzer; Zhijing Jin,arXiv,2026,data/pdfs/2604.15267v1.pdf,cs.AI
2604.15259v1,Stability and Generalization in Looped Transformers,Asher Labovich,arXiv,2026,data/pdfs/2604.15259v1.pdf,cs.AI
2604.15236v1,Agentic Microphysics: A Manifesto for Generative AI Safety,Federico Pierucci; Matteo Prandi; Marcantonio Bracale Syrnikov; Marcello Galisai; Piercosma Bisconti,arXiv,2026,data/pdfs/2604.15236v1.pdf,cs.AI
2604.15233v1,Blue Data Intelligence Layer: Streaming Data and Agents for Multi-source Multi-modal Data-Centric Applications,Moin Aminnaseri; Farima Fatahi Bayat; Nikita Bhutani; Jean-Flavien Bussotti; Kevin Chan,arXiv,2026,data/pdfs/2604.15233v1.pdf,cs.AI
2604.15231v1,RadAgent: A tool-using AI agent for stepwise interpretation of chest computed tomography,Mélanie Roschewitz; Kenneth Styppa; Yitian Tao; Jiwoong Sohn; Jean-Benoit Delbrouck,arXiv,2026,data/pdfs/2604.15231v1.pdf,cs.AI
2604.15224v1,Context Over Content: Exposing Evaluation Faking in Automated Judges,Manan Gupta; Inderjeet Nair; Lu Wang; Dhruv Kumar,arXiv,2026,data/pdfs/2604.15224v1.pdf,cs.AI
2604.15222v1,AI-Assisted Requirements Engineering: An Empirical Evaluation Relative to Expert Judgment,Oz Levy; Ilya Dikman; Natan Levy; Michael Winokur,arXiv,2026,data/pdfs/2604.15222v1.pdf,cs.AI
2604.15210v1,Learning to Think Like a Cartoon Captionist: Incongruity-Resolution Supervision for Multimodal Humor Understanding,Hatice Merve Vural; Doga Kukul; Ege Erdem Ozlu; Demir Ekin Arikan; Bob Mankoff,arXiv,2026,data/pdfs/2604.15210v1.pdf,cs.AI
2604.15202v1,Benchmarking Classical Coverage Path Planning Heuristics on Irregular Hexagonal Grids for Maritime Coverage Scenarios,Carlos S. Sepúlveda; Gonzalo A. Ruz,arXiv,2026,data/pdfs/2604.15202v1.pdf,cs.AI
2604.15190v1,Meituan Merchant Business Diagnosis via Policy-Guided Dual-Process User Simulation,Ziyang Chen; Renbing Chen; Daowei Li; Jinzhi Liao; Jiashen Sun,arXiv,2026,data/pdfs/2604.15190v1.pdf,cs.AI
2604.15188v1,VisPCO: Visual Token Pruning Configuration Optimization via Budget-Aware Pareto-Frontier Learning for Vision-Language Models,Huawei Ji; Yuanhao Sun; Yuan Jin; Cheng Deng; Jiaxin Ding,arXiv,2026,data/pdfs/2604.15188v1.pdf,cs.AI
2604.15186v1,Scepsy: Serving Agentic Workflows Using Aggregate LLM Pipelines,Marcel Wagenländer; Otto White; Britannio Jarrett; Pedro Silvestre; Yanda Tao,arXiv,2026,data/pdfs/2604.15186v1.pdf,cs.AI
2604.15184v1,Agent-Aided Design for Dynamic CAD Models,Mitch Adler; Matthew Russo; Michael Cafarella,arXiv,2026,data/pdfs/2604.15184v1.pdf,cs.AI
2604.15174v1,MambaSL: Exploring Single-Layer Mamba for Time Series Classification,Yoo-Min Jung; Leekyung Kim,arXiv,2026,data/pdfs/2604.15174v1.pdf,cs.AI
2604.15166v1,Class Unlearning via Depth-Aware Removal of Forget-Specific Directions,Arman Hatami; Romina Aalishah; Ilya E. Monosov,arXiv,2026,data/pdfs/2604.15166v1.pdf,cs.AI
2604.15153v1,Compressing Sequences in the Latent Embedding Space: $K$-Token Merging for Large Language Models,Zihao Xu; John Harvill; Ziwei Fan; Yizhou Sun; Hao Ding,arXiv,2026,data/pdfs/2604.15153v1.pdf,cs.AI
2604.15149v1,LLMs Gaming Verifiers: RLVR can Lead to Reward Hacking,Lukas Helff; Quentin Delfosse; David Steinmann; Ruben Härle; Hikaru Shindo,arXiv,2026,data/pdfs/2604.15149v1.pdf,cs.AI
2604.15148v1,IG-Search: Step-Level Information Gain Rewards for Search-Augmented Reasoning,Zihan Liang; Yufei Ma; Ben Chen; Zhipeng Qian; Huangyu Dai,arXiv,2026,data/pdfs/2604.15148v1.pdf,cs.AI
2604.15145v1,An Axiomatic Benchmark for Evaluation of Scientific Novelty Metrics,Miri Liu; ChengXiang Zhai,arXiv,2026,data/pdfs/2604.15145v1.pdf,cs.AI
2604.15143v1,Structure as Computation: Developmental Generation of Minimal Neural Circuits,Duan Zhou,arXiv,2026,data/pdfs/2604.15143v1.pdf,cs.AI
2604.15121v1,SRMU: Relevance-Gated Updates for Streaming Hyperdimensional Memories,Shay Snyder; Andrew Capodieci; David Gorsich; Maryam Parsa,arXiv,2026,data/pdfs/2604.15121v1.pdf,cs.AI
2604.15114v1,Amortized Optimal Transport from Sliced Potentials,Minh-Phuc Truong; Khai Nguyen,arXiv,2026,data/pdfs/2604.15114v1.pdf,cs.AI
2604.15113v1,HyperSpace: A Generalized Framework for Spatial Encoding in Hyperdimensional Representations,Shay Snyder; Andrew Capodieci; David Gorsich; Maryam Parsa,arXiv,2026,data/pdfs/2604.15113v1.pdf,cs.AI
2604.15109v1,IUQ: Interrogative Uncertainty Quantification for Long-Form Large Language Model Generation,Haozhi Fan; Jinhao Duan; Kaidi Xu,arXiv,2026,data/pdfs/2604.15109v1.pdf,cs.AI
2604.15093v1,OpenMobile: Building Open Mobile Agents with Task and Trajectory Synthesis,Kanzhi Cheng; Zehao Li; Zheng Ma; Nuo Chen; Jialin Cao,arXiv,2026,data/pdfs/2604.15093v1.pdf,cs.AI
2604.15082v1,Autonomous Evolution of EDA Tools: Multi-Agent Self-Evolved ABC,Cunxi Yu; Haoxing Ren,arXiv,2026,data/pdfs/2604.15082v1.pdf,cs.AI
2604.15078v1,Where are the Humans? A Scoping Review of Fairness in Multi-agent AI Systems,Simeon Allmendinger; Luca Deck; Lucas Mueller,arXiv,2026,data/pdfs/2604.15078v1.pdf,cs.AI
2604.15076v1,NEAT-NC: NEAT guided Navigation Cells for Robot Path Planning,Hibatallah Meliani; Khadija Slimani; Samira Khoulji,arXiv,2026,data/pdfs/2604.15076v1.pdf,cs.AI
2604.15063v1,No More Guessing: a Verifiable Gradient Inversion Attack in Federated Learning,Francesco Diana; Chuan Xu; André Nusser; Giovanni Neglia,arXiv,2026,data/pdfs/2604.15063v1.pdf,cs.AI
2604.15044v1,CoGrid & the Multi-User Gymnasium: A Framework for Multi-Agent Experimentation,Chase McDonald; Cleotilde Gonzalez,arXiv,2026,data/pdfs/2604.15044v1.pdf,cs.AI
2604.15038v1,When Fairness Metrics Disagree: Evaluating the Reliability of Demographic Fairness Assessment in Machine Learning,Khalid Adnan Alsayed,arXiv,2026,data/pdfs/2604.15038v1.pdf,cs.AI
2604.15037v1,From Reactive to Proactive: Assessing the Proactivity of Voice Agents via ProVoice-Bench,Ke Xu; Yuhao Wang; Yu Wang,arXiv,2026,data/pdfs/2604.15037v1.pdf,cs.AI
2604.15034v1,Autogenesis: A Self-Evolving Agent Protocol,Wentao Zhang,arXiv,2026,data/pdfs/2604.15034v1.pdf,cs.AI
2604.15022v1,Route to Rome Attack: Directing LLM Routers to Expensive Models via Adversarial Suffix Optimization,Haochun Tang; Yuliang Yan; Jiahua Lu; Huaxiao Liu; Enyan Dai,arXiv,2026,data/pdfs/2604.15022v1.pdf,cs.AI
2604.15010v1,What Is the Minimum Architecture for Prolepsis? Early Irrevocable Commitment Across Tasks in Small Transformers,Éric Jacopin,arXiv,2026,data/pdfs/2604.15010v1.pdf,cs.AI
2604.15009v1,Towards Faster Language Model Inference Using Mixture-of-Experts Flow Matching,Aihua Li,arXiv,2026,data/pdfs/2604.15009v1.pdf,cs.AI
2604.15001v1,COEVO: Co-Evolutionary Framework for Joint Functional Correctness and PPA Optimization in LLM-Based RTL Generation,Heng Ping; Peiyu Zhang; Shixuan Li; Wei Yang; Anzhe Cheng,arXiv,2026,data/pdfs/2604.15001v1.pdf,cs.AI
2604.14991v1,Predicting Power-System Dynamic Trajectories with Foundation Models,Haoran Li; Lihao Mai; Chenhan Xiao; Erik Blasch; Yang Weng,arXiv,2026,data/pdfs/2604.14991v1.pdf,cs.AI
2604.14990v1,The Possibility of Artificial Intelligence Becoming a Subject and the Alignment Problem,Till Mossakowski; Helena Esther Grass,arXiv,2026,data/pdfs/2604.14990v1.pdf,cs.AI
2604.14989v1,Dr.~RTL: Autonomous Agentic RTL Optimization through Tool-Grounded Self-Improvement,Wenji Fang; Yao Lu; Shang Liu; Jing Wang; Ziyan Guo,arXiv,2026,data/pdfs/2604.14989v1.pdf,cs.AI
2604.14987v1,AI-Enabled Covert Channel Detection in RF Receiver Architectures,Abdelrahman Emad Abdelazim; Alan Rodrigo Diaz-Rizo; Hassan Aboushady; Haralampos-G. Stratigopoulos,arXiv,2026,data/pdfs/2604.14987v1.pdf,cs.AI
2604.14984v1,Agentic Explainability at Scale: Between Corporate Fears and XAI Needs,Yomna Elsayed; Cecily Jones,arXiv,2026,data/pdfs/2604.14984v1.pdf,cs.AI
2604.14980v1,Hybrid Decision Making via Conformal VLM-generated Guidance,Debodeep Banerjee; Burcu Sayin; Stefano Teso; Andrea Passerini,arXiv,2026,data/pdfs/2604.14980v1.pdf,cs.AI
2604.14969v1,Discovering Novel LLM Experts via Task-Capability Coevolution,Andrew Dai; Boris Meinardus; Ciaran Regan; Yingtao Tian; Yujin Tang,arXiv,2026,data/pdfs/2604.14969v1.pdf,cs.AI
2604.14967v1,UniDoc-RL: Coarse-to-Fine Visual RAG with Hierarchical Actions and Dense Rewards,Jun Wang; Shuo Tan; Zelong Sun; Tiancheng Gu; Yongle Zhao,arXiv,2026,data/pdfs/2604.14967v1.pdf,cs.AI
2604.14961v1,Calibration-Gated LLM Pseudo-Observations for Online Contextual Bandits,Maksim Pershin; Ivan Golovanov; Pavel Baltabaev; Natalia Trankova,arXiv,2026,data/pdfs/2604.14961v1.pdf,cs.AI
2604.14951v1,RaTA-Tool: Retrieval-based Tool Selection with Multimodal Large Language Models,Gabriele Mattioli; Evelyn Turri; Sara Sarto; Lorenzo Baraldi; Marcella Cornia,arXiv,2026,data/pdfs/2604.14951v1.pdf,cs.AI
2604.14932v1,WavAlign: Enhancing Intelligence and Expressiveness in Spoken Dialogue Models via Adaptive Hybrid Post-Training,Yifu Chen; Shengpeng Ji; Qian Chen; Tianle Liang; Yangzhuo Li,arXiv,2026,data/pdfs/2604.14932v1.pdf,cs.AI
2604.14927v1,STEP-Parts: Geometric Partitioning of Boundary Representations for Large-Scale CAD Processing,Shen Fan; Mikołaj Kida; Przemyslaw Musialski,arXiv,2026,data/pdfs/2604.14927v1.pdf,cs.AI
2604.14925v1,Improving Sparse Autoencoder with Dynamic Attention,Dongsheng Wang; Jinsen Zhang; Dawei Su; Hui Huang,arXiv,2026,data/pdfs/2604.14925v1.pdf,cs.AI
2604.14920v1,Dual-Axis Generative Reward Model Toward Semantic and Turn-taking Robustness in Interactive Spoken Dialogue Models,Yifu Chen; Shengpeng Ji; Zhengqing Liu; Qian Chen; Wen Wang,arXiv,2026,data/pdfs/2604.14920v1.pdf,cs.AI
2604.14902v1,ADAPT: Benchmarking Commonsense Planning under Unspecified Affordance Constraints,Pei-An Chen; Yong-Ching Liang; Jia-Fong Yeh; Hung-Ting Su; Yi-Ting Chen,arXiv,2026,data/pdfs/2604.14902v1.pdf,cs.AI
2604.14898v1,Governing Reflective Human-AI Collaboration: A Framework for Epistemic Scaffolding and Traceable Reasoning,Rikard Rosenbacke; Carl Rosenbacke; Victor Rosenbacke; Martin McKee,arXiv,2026,data/pdfs/2604.14898v1.pdf,cs.AI
2604.14896v1,Toward Agentic RAG for Ukrainian,Marta Sumyk; Oleksandr Kosovan,arXiv,2026,data/pdfs/2604.14896v1.pdf,cs.AI
2604.14895v1,Beyond Importance Sampling: Rejection-Gated Policy Optimization,Ziwu Sun; Zhen Gao; Jiyong Zhang; Jiaheng Li,arXiv,2026,data/pdfs/2604.14895v1.pdf,cs.AI
2604.14892v1,Can LLMs Score Medical Diagnoses and Clinical Reasoning as well as Expert Panels?,Amy Rouillard; Sitwala Mundiab; Linda Camarab; Michael Cameron Gramaniec; Ziyaad Dangorc,arXiv,2026,data/pdfs/2604.14892v1.pdf,cs.AI
2604.14889v1,MemoSight: Unifying Context Compression and Multi Token Prediction for Reasoning Acceleration,Xinyu Liu; Xin Liu; Bo Jin; Runsong Zhao; Pengcheng Huang,arXiv,2026,data/pdfs/2604.14889v1.pdf,cs.AI
2604.14888v1,Reasoning Dynamics and the Limits of Monitoring Modality Reliance in Vision-Language Models,Danae Sánchez Villegas; Samuel Lewis-Lim; Nikolaos Aletras; Desmond Elliott,arXiv,2026,data/pdfs/2604.14888v1.pdf,cs.AI
2604.14886v1,Cooperate to Compete: Strategic Data Generation and Incentivization Framework for Coopetitive Cross-Silo Federated Learning,Thanh Linh Nguyen; Nguyen Van Huynh; Quoc-Viet Pham,arXiv,2026,data/pdfs/2604.14886v1.pdf,cs.AI
2604.14885v1,RACER: Retrieval-Augmented Contextual Rapid Speculative Decoding,Zihong Zhang; Zuchao Li; Lefei Zhang; Ping Wang; Hai Zhao,arXiv,2026,data/pdfs/2604.14885v1.pdf,cs.AI
2604.14881v1,The Missing Knowledge Layer in AI: A Framework for Stable Human-AI Reasoning,Rikard Rosenbacke; Carl Rosenbacke; Victor Rosenbacke; Martin McKee,arXiv,2026,data/pdfs/2604.14881v1.pdf,cs.AI
2604.14879v1,SOLIS: Physics-Informed Learning of Interpretable Neural Surrogates for Nonlinear Systems,Murat Furkan Mansur; Tufan Kumbasar,arXiv,2026,data/pdfs/2604.14879v1.pdf,cs.AI
2604.14878v1,GenRec: A Preference-Oriented Generative Framework for Large-Scale Recommendation,Yanyan Zou; Junbo Qi; Lunsong Huang; Yu Li; Kewei Xu,arXiv,2026,data/pdfs/2604.14878v1.pdf,cs.AI
2604.14867v1,"Vibe-Coding: Feedback-Based Automated Verification with no Human Code Inspection, a Feasibility Study",Michal Töpfer; František Plášil; Tomáš Bureš; Petr Hnětynka,arXiv,2026,data/pdfs/2604.14867v1.pdf,cs.AI
2604.14866v1,MetaDent: Labeling Clinical Images for Vision-Language Models in Dentistry,Meng-Xun Li; Wen-Hui Deng; Zhi-Xing Wu; Chun-Xiao Jin; Jia-Min Wu,arXiv,2026,data/pdfs/2604.14866v1.pdf,cs.AI
2604.14862v1,Schema Key Wording as an Instruction Channel in Structured Generation under Constrained Decoding,Yifan Le,arXiv,2026,data/pdfs/2604.14862v1.pdf,cs.AI
2604.14858v1,Benchmarks for Trajectory Safety Evaluation and Diagnosis in OpenClaw and Codex: ATBench-Claw and ATBench-CodeX,Zhonghao Yang; Yu Li; Yanxu Zhu; Tianyi Zhou; Yuejin Xie,arXiv,2026,data/pdfs/2604.14858v1.pdf,cs.AI
2604.14856v1,ClimateCause: Complex and Implicit Causal Structures in Climate Reports,Liesbeth Allein; Nataly Pineda-Castañeda; Andrea Rocci; Marie-Francine Moens,arXiv,2026,data/pdfs/2604.14856v1.pdf,cs.AI
2604.14849v1,Efficient Search of Implantable Adaptive Cells for Medical Image Segmentation,Emil Benedykciuk; Marcin Denkowski; Grzegorz M. Wójcik,arXiv,2026,data/pdfs/2604.14849v1.pdf,cs.AI
2604.14847v1,TrigReason: Trigger-Based Collaboration between Small and Large Reasoning Models,Yi Zhao; Yajuan Peng; Cam-Tu Nguyen; Zuchao Li; Xiaoliang Wang,arXiv,2026,data/pdfs/2604.14847v1.pdf,cs.AI
2604.14846v1,"Zero-Shot Retail Theft Detection via Orchestrated Vision Models: A Model-Agnostic, Cost-Effective Alternative to Trained Single-Model Systems",Haileab Yagersew,arXiv,2026,data/pdfs/2604.14846v1.pdf,cs.AI
2604.14838v1,Intermediate Layers Encode Optimal Biological Representations in Single-Cell Foundation Models,Vincenzo Yuto Civale; Roberto Semeraro; Andrew David Bagdanov; Alberto Magi,arXiv,2026,data/pdfs/2604.14838v1.pdf,cs.AI
2604.14829v1,Beyond Literal Summarization: Redefining Hallucination for Medical SOAP Note Evaluation,Bhavik Vachhani; Kush Shrisvastava; Pranshu Nema; Sai Chiranthan,arXiv,2026,data/pdfs/2604.14829v1.pdf,cs.AI
2604.14807v1,The LLM Fallacy: Misattribution in AI-Assisted Cognitive Workflows,Hyunwoo Kim; Harin Yu; Hanau Yi,arXiv,2026,data/pdfs/2604.14807v1.pdf,cs.AI
2604.14790v1,Diffusion Crossover: Defining Evolutionary Recombination in Diffusion Models via Noise Sequence Interpolation,Chisatao Kumada; Satoru Hiwa; Tomoyuki Hiroyasu,arXiv,2026,data/pdfs/2604.14790v1.pdf,cs.AI
2604.14789v1,A Comparative Study of CNN Optimization Methods for Edge AI: Exploring the Role of Early Exits,Nekane Fernandez; Ivan Valdes; Steven Van Vaerenbergh; Idoia de la Iglesia; Julen Arratibel,arXiv,2026,data/pdfs/2604.14789v1.pdf,cs.AI
2604.14788v1,Sequence Search: Automated Sequence Design using Neural Architecture Search,Rokgi Hong; Hongjun An; Sooyeon Ji; Jongho Lee,arXiv,2026,data/pdfs/2604.14788v1.pdf,cs.AI
2604.14786v1,CogEvolution: A Human-like Generative Educational Agent to Simulate Student's Cognitive Evolution,Wei Zhang; Yihang Cheng; Zhirong Ye; Kezhen Huang,arXiv,2026,data/pdfs/2604.14786v1.pdf,cs.AI
2604.14785v1,MirrorBench: Evaluating Self-centric Intelligence in MLLMs by Introducing a Mirror,Shengyu Guo; Tongrui Ye; Jianbo Zhang; Zicheng Zhang; Chunyi Li,arXiv,2026,data/pdfs/2604.14785v1.pdf,cs.AI
2604.14768v1,CoTEvol: Self-Evolving Chain-of-Thoughts for Data Synthesis in Mathematical Reasoning,Zhuo Wang; Zhuo Zhang; Yafu Li; Yu Cheng; Lizhen Qu,arXiv,2026,data/pdfs/2604.14768v1.pdf,cs.AI
2604.14766v1,Temporal Cross-Modal Knowledge-Distillation-Based Transfer-Learning for Gas Turbine Vibration Fault Detection,Ali Bagheri Nejad; Mahdi Aliyari-Shoorehdeli; Abolfazl Hasanzadeh,arXiv,2026,data/pdfs/2604.14766v1.pdf,cs.AI
2604.14749v1,Which bird does not have wings: Negative-constrained KGQA with Schema-guided Semantic Matching and Self-directed Refinement,Midan Shim; Seokju Hwang; Kaehyun Um; Kyong-Ho Lee,arXiv,2026,data/pdfs/2604.14749v1.pdf,cs.AI
2604.14746v1,Disentangle-then-Refine: LLM-Guided Decoupling and Structure-Aware Refinement for Graph Contrastive Learning,Zhaoxing Li; Hai-Feng Zhang; Xiaoming Zhang,arXiv,2026,data/pdfs/2604.14746v1.pdf,cs.AI
2604.14738v1,Personalized and Context-Aware Transformer Models for Predicting Post-Intervention Physiological Responses from Wearable Sensor Data,Esther Brown; Victoria Dean; Finale Doshi-Velez,arXiv,2026,data/pdfs/2604.14738v1.pdf,cs.AI
2604.14726v1,Catching Every Ripple: Enhanced Anomaly Awareness via Dynamic Concept Adaptation,Jiaqi Zhu; Shaofeng Cai; Jie Chen; Fang Deng; Beng Chin Ooi,arXiv,2026,data/pdfs/2604.14726v1.pdf,cs.AI
2604.14723v1,Bounded Autonomy for Enterprise AI: Typed Action Contracts and Consumer-Side Execution,Sarmad Sohail; Ghufran Haider,arXiv,2026,data/pdfs/2604.14723v1.pdf,cs.AI
2604.14718v1,The Agentification of Scientific Research: A Physicist's Perspective,Xiao-Liang Qi,arXiv,2026,data/pdfs/2604.14718v1.pdf,cs.AI
2604.14717v1,Layered Mutability: Continuity and Governance in Persistent Self-Modifying Agents,Krti Tallam,arXiv,2026,data/pdfs/2604.14717v1.pdf,cs.AI
2604.14712v1,SGA-MCTS: Decoupling Planning from Execution via Training-Free Atomic Experience Retrieval,Xin Xie; Dongyun Xue; Wuguannan Yao; Mingxiao Feng; Wengang Zhou,arXiv,2026,data/pdfs/2604.14712v1.pdf,cs.AI
2604.14709v1,HWE-Bench: Benchmarking LLM Agents on Real-World Hardware Bug Repair Tasks,Fan Cui; Hongyuan Hou; Zizhang Luo; Chenyun Yin; Yun Liang,arXiv,2026,data/pdfs/2604.14709v1.pdf,cs.AI
2604.14705v1,SynHAT: A Two-stage Coarse-to-Fine Diffusion Framework for Synthesizing Human Activity Traces,Rongchao Xu; Lin Jiang; Dahai Yu; Ximiao Li; Guang Wang,arXiv,2026,data/pdfs/2604.14705v1.pdf,cs.AI
